ID,Label
625532709696176128,anger
629767899125796864,anger
630480682192515072,anger
632999756713734144,anger
635494143427383297,anger
635494704986071040,anger
635494786699427840,anger
635495081521209344,anger
635495418042822656,anger
635495524498411520,anger
637554894732292097,anger
637554901476773888,anger
637554902193979392,anger
637554911291412480,anger
637554938239823876,anger
637554943696617472,anger
637554963548278788,anger
637554984645582849,anger
637554996305723397,anger
637555444395831296,anger
637555450162974720,anger
637555485101551616,anger
637561177497726977,anger
638828648489857025,anger
638828947682103297,anger
638829165433655296,anger
638829469365460993,anger
638830155394187265,anger
638831123557015552,anger
638831303664648192,anger
638833076139757568,anger
638836660180942848,anger
638837813354434561,anger
638837887518179330,anger
638841554493243392,anger
638990126207496192,anger
639941221218037760,anger
639941361798508544,anger
639942739438661636,anger
639943925734641664,anger
639944488882798592,anger
639945932717486082,anger
639946811642277888,anger
641033453488599040,anger
641033744728506368,anger
641211142790975489,anger
641214209267793920,anger
641216690919895040,anger
641729464888508416,anger
641729659449683968,anger
641732624352804864,anger
641732703168032768,anger
641736171207266304,anger
642108265711595520,anger
642112269086650369,anger
642113883155464193,anger
642119500821729280,anger
642125596839968768,anger
642134194643185664,anger
642420826168406016,anger
642487189775847425,anger
642488475338432512,anger
642490890011803648,anger
642498001525608448,anger
642666563267485696,anger
642670785476210688,anger
642672425734311937,anger
643396497216700416,anger
643397177893457920,anger
643426510666375168,anger
643448379482050560,anger
643563076298534912,anger
643563119449542657,anger
643563239880552448,anger
643563536510136320,anger
643563599508566016,anger
643563677048700929,anger
643563828060385280,anger
643564806335676416,anger
643565005456179200,anger
643565051828285440,anger
643566876270837760,anger
643566967765381120,anger
643567861605097472,anger
643567877673496576,anger
643801215038390272,anger
643941293916225536,anger
643941378712432640,anger
643941826487975936,anger
643941844473090048,anger
643942621786705920,anger
643942712480301056,anger
643944147095810048,anger
643945452635836416,anger
644485922457653248,anger
644485962630828032,anger
644485972244074496,anger
644485977017180164,anger
644486236338393089,anger
644486239681277953,anger
644486262728994816,anger
644489285689733121,anger
644489303343546369,anger
644489343042613248,anger
644489362961383424,anger
644490198571610112,anger
644490207849529344,anger
644491770965786624,anger
644641447279398913,anger
644641454543998981,anger
644646484932186112,anger
644976061059457026,anger
644976729467949056,anger
644976866751705088,anger
644977852220248064,anger
645347469333626880,anger
645347705900785664,anger
645347726142521344,anger
645395156670156800,anger
646098034619609088,anger
646324405186883584,anger
646456857058390016,anger
647944587911254016,anger
647944706031284225,anger
647946723772526596,anger
648050799092719616,anger
648157882211368960,anger
648157930198462464,anger
648169798719770624,anger
648264637234843648,anger
648502778222899200,anger
648503813616197632,anger
648562056090664960,anger
648562058431066112,anger
648562168435048448,anger
648562190178357248,anger
648562209899941888,anger
648562772234539008,anger
648564132367601664,anger
649166587044327424,anger
649168871933349888,anger
649339859312619520,anger
649339872579203072,anger
649340468967292928,anger
649340480988147712,anger
649903257268154368,anger
650175160927023104,anger
650175211002830848,anger
650175264769593345,anger
650176110819471360,anger
650229416564510720,anger
650235404990464000,anger
650546001976119296,anger
650546024902205440,anger
650546096335405056,anger
650546135183003648,anger
650598967525404672,anger
650599054439677952,anger
650599083334209537,anger
650599128892895232,anger
650599142780235776,anger
650599172819820544,anger
650599175470624772,anger
650599198941908992,anger
650599224569167872,anger
650599232114704384,anger
650599248187269122,anger
650599812241444864,anger
650599838426468352,anger
650599962875576320,anger
650599992206475264,anger
650600019230347264,anger
650600940546977792,anger
650600943621414912,anger
650600953922617344,anger
650600980124405760,anger
650601126073630720,anger
651110875307360256,anger
651505537960529920,anger
651505674149601281,anger
651506582887473152,anger
651508049698361345,anger
651509267774734336,anger
651511211335512064,anger
651511259544879104,anger
651513680220291072,anger
651513729570488320,anger
651765680845385728,anger
651825816607825922,anger
651826065141288960,anger
652805515614011392,anger
652806567516090368,anger
652806601485733888,anger
652806601812889603,anger
652815120712790016,anger
652815478923128832,anger
653623712562987009,anger
653628684964921344,anger
653967608203624448,anger
653967623504457728,anger
653967670728130560,anger
653968049675075585,anger
653968084181622785,anger
653968091513286656,anger
654396450147799040,anger
654804639167045633,anger
654805485728624640,anger
654816789323321344,anger
654816792963997696,anger
654816800861847552,anger
654817387716317184,anger
654818119114883072,anger
654818145748697088,anger
654818152375648256,anger
654818879919656960,anger
654819915954655232,anger
654819923420540928,anger
654819962192683008,anger
654821127408119808,anger
654823529058316288,anger
655772252554817536,anger
655772537423556608,anger
655772565252648960,anger
655772654297858048,anger
655777184381083648,anger
655777263338848256,anger
655777347946336256,anger
655777376983498752,anger
655777384738725888,anger
655777414350532608,anger
655777715115683841,anger
655777716529176576,anger
655777807356792832,anger
655778133300400128,anger
655778244218789888,anger
655778357548838913,anger
655778419834269696,anger
655778868482166784,anger
655779476345876480,anger
655779834929508352,anger
655780528336064512,anger
655781597346705410,anger
656094635669004288,anger
656884549029384193,anger
656885650361307136,anger
657191121873973248,anger
657191866581037056,anger
657191914261868544,anger
657193319634739200,anger
657193421547900928,anger
657197130491273216,anger
657309596659392512,anger
657309973618282497,anger
657310986244915201,anger
